#{"t_start": 1742229566.614126, "env_id": "None"}
r,l,t
30.0,2,0.095588
5.0,1,0.098552
30.0,2,0.101949
-15.0,9,0.110752
0.0,6,0.120398
35.0,3,0.124516
30.0,2,0.128371
-30.0,12,0.142094
0.0,6,0.199349
5.0,1,0.208392
-15.0,9,0.225772
35.0,3,0.232774
-30.0,12,0.265965
35.0,3,0.270111
-50.0,16,0.295671
30.0,2,0.303794
5.0,1,0.309251
30.0,2,0.313057
0.0,6,0.320596
30.0,2,0.33105
30.0,2,0.337123
5.0,1,0.339701
35.0,3,0.343505
35.0,3,0.34833
5.0,1,0.353433
0.0,6,0.366511
-30.0,12,0.376231
35.0,3,0.381021
43.333333,6,0.397389
-30.0,12,0.416647
1.666667,14,0.430205
-5.0,7,0.437306
5.0,1,0.44116
30.0,2,0.445061
-45.0,15,0.457588
-25.0,15,0.470775
5.0,1,0.474813
30.0,2,0.478266
35.0,3,0.483186
-5.0,7,0.490427
-30.0,12,0.503355
0.0,6,0.509384
5.0,1,0.512356
5.0,1,0.514953
-45.0,15,0.527686
-15.0,9,0.534886
35.0,3,0.538968
35.0,3,0.542625
-180.0,42,0.565501
0.0,6,0.571066
0.0,6,0.92324
30.0,2,0.926246
35.0,3,0.930761
0.0,6,0.93578
-30.0,12,0.944884
30.0,2,0.94822
-65.0,19,0.962687
30.0,2,0.965509
5.0,1,0.968139
35.0,3,0.972075
5.0,1,0.97583
30.0,2,0.978883
5.0,1,0.981119
30.0,2,0.984131
30.0,2,0.988094
35.0,3,0.991388
0.0,6,0.996981
-15.0,9,1.003931
5.0,1,1.00696
-45.0,15,1.018813
-15.0,9,1.026144
-30.0,12,1.03668
5.0,1,1.04001
30.0,2,1.042876
0.0,6,1.049146
-15.0,9,1.056226
5.0,1,1.05942
5.0,1,1.061687
-15.0,9,1.068971
5.0,1,1.071267
-15.0,9,1.08007
-15.0,9,1.088786
35.0,3,1.093074
15.0,7,1.099753
-75.0,21,1.115273
-15.0,9,1.123759
5.0,1,1.127246
35.0,3,1.131902
35.0,3,1.13809
53.333333,4,1.144265
5.0,1,1.147429
5.0,1,1.149948
-30.0,12,1.162069
5.0,1,1.165023
35.0,3,1.169197
30.0,2,1.172581
-15.0,9,1.181264
-15.0,9,1.189723
35.0,3,1.193999
35.0,3,1.198224
35.0,3,1.406089
-30.0,12,1.416179
0.0,6,1.422045
