#{"t_start": 1742142969.09645, "env_id": "None"}
r,l,t
0.0,6,0.105778
30.0,2,0.110539
5.0,1,0.131304
0.0,6,0.184569
-70.0,24,0.259832
35.0,3,0.277498
35.0,3,0.29949
35.0,3,0.311399
5.0,1,0.317916
30.0,2,0.336824
30.0,2,0.34647
30.0,4,0.378746
0.0,6,0.388194
0.0,6,0.397191
-65.0,19,0.421263
30.0,2,0.425724
5.0,1,0.429705
5.0,9,0.441885
0.0,6,0.451465
5.0,1,0.45484
35.0,3,0.461104
-30.0,12,0.477486
0.0,6,0.486919
-120.0,30,0.52236
0.0,6,0.530926
5.0,1,0.534343
35.0,3,0.539831
30.0,2,0.54432
0.0,6,0.552919
-15.0,9,0.566347
5.0,1,0.569982
35.0,3,0.575908
35.0,3,0.581426
-15.0,9,0.593488
-30.0,12,0.609035
0.0,6,0.618556
5.0,1,0.62175
0.0,6,0.630754
0.0,6,0.640284
30.0,2,0.644708
30.0,2,0.649383
-15.0,9,0.661638
30.0,2,0.666047
35.0,3,0.671432
5.0,1,0.674279
37.5,7,0.684888
35.0,3,0.690549
-15.0,9,0.704046
-5.0,7,0.715003
0.0,6,0.725235
5.0,1,0.728447
5.0,1,0.73182
25.0,5,0.740347
-15.0,9,0.752345
-10.0,12,0.768781
0.0,6,0.778298
35.0,3,0.78386
5.0,1,0.786795
5.0,1,0.78992
0.0,6,0.799248
5.0,1,0.802107
-15.0,9,0.814698
30.0,2,0.819053
-30.0,12,0.833885
35.0,3,0.839168
30.0,2,0.843548
5.0,1,0.84641
5.0,1,0.849361
35.0,3,0.8549
0.0,6,0.864335
27.5,9,0.877544
-15.0,9,0.890039
-45.0,15,0.910019
30.0,4,0.917666
35.0,3,0.923428
35.0,3,0.929159
30.0,2,0.933478
25.0,3,0.938732
35.0,3,0.944516
-15.0,9,0.956803
30.0,2,0.961162
-30.0,12,0.976327
5.0,1,0.979364
30.0,2,0.983688
30.0,2,0.987922
43.333333,6,0.9971
35.0,3,1.002503
-10.0,8,1.013989
30.0,2,1.018482
30.0,2,1.022804
35.0,3,1.028453
35.0,3,1.034173
0.0,6,1.043329
-15.0,9,1.05663
35.0,3,1.062538
35.0,3,1.068144
-15.0,9,1.081635
35.0,3,1.087705
35.0,3,1.09307
5.0,1,1.096395
5.0,1,1.099416
35.0,3,1.104463
30.0,2,1.108671
5.0,1,1.11178
-15.0,9,1.124319
30.0,2,1.128767
5.0,1,1.132221
-45.0,15,1.150845
5.0,1,1.153816
0.0,6,1.163438
35.0,3,1.169079
-30.0,12,1.184852
-5.0,11,1.199807
35.0,3,1.205436
30.0,2,1.209586
30.0,2,1.213907
0.0,6,1.223112
-15.0,9,1.235442
-60.0,18,1.258434
0.0,6,1.26781
35.0,3,1.275022
-30.0,12,1.293012
5.0,1,1.296099
35.0,3,1.302649
-15.0,9,1.315888
5.0,1,1.319636
5.0,1,1.323381
5.0,1,1.326839
53.333333,4,1.334839
0.0,6,1.346547
5.0,1,1.350495
-30.0,12,1.367221
35.0,3,1.373444
0.0,6,1.38223
0.0,6,1.39125
0.0,6,1.4009
0.0,6,1.411009
-15.0,9,1.422868
25.0,3,1.428684
0.0,6,1.43722
30.0,2,1.441447
-15.0,9,1.453684
30.0,2,1.457799
-15.0,9,1.470913
-15.0,9,1.490682
30.0,2,1.501445
-35.0,13,1.525867
30.0,2,1.536343
0.0,6,1.554406
-15.0,9,1.575686
35.0,3,1.590466
5.0,1,1.599429
35.0,3,1.612308
35.0,3,1.627451
5.0,1,1.636321
35.0,3,1.651301
35.0,3,1.666368
-60.0,18,1.697744
-15.0,9,1.718782
0.0,6,1.735916
30.0,2,1.747377
-30.0,12,1.773746
-15.0,9,1.794351
30.0,4,1.808162
5.0,1,1.817287
35.0,3,1.832178
35.0,3,1.847379
35.0,3,1.86018
35.0,3,1.875543
30.0,2,1.886372
-45.0,15,1.911947
0.0,6,1.92942
5.0,1,1.936572
-15.0,9,1.957642
35.0,3,1.970256
30.0,2,1.982181
30.0,2,1.994242
0.0,6,2.012929
0.0,6,2.031087
32.5,8,2.051192
-30.0,12,2.07624
-30.0,12,2.10044
5.0,1,2.108158
30.0,2,2.120227
5.0,1,2.128086
0.0,6,2.146596
-15.0,9,2.166436
35.0,3,2.18012
35.0,3,2.194036
0.0,6,2.212284
0.0,6,2.230719
0.0,6,2.246613
-15.0,9,2.267747
0.0,6,2.285439
0.0,6,2.307666
-15.0,9,10.049349
-15.0,9,10.06216
-15.0,9,10.075832
-15.0,9,10.089493
5.0,1,10.092974
35.0,3,10.098724
0.0,6,10.108287
35.0,3,10.113918
35.0,3,10.125817
5.0,1,10.12954
35.0,3,10.135102
30.0,2,10.139479
-15.0,9,10.152486
-15.0,9,10.165846
35.0,3,10.171359
-15.0,9,10.183632
-15.0,9,10.196409
0.0,6,10.205543
5.0,1,10.209009
-30.0,12,10.225466
30.0,2,10.229884
12.0,12,10.246242
0.0,6,10.256376
5.0,1,10.259745
-15.0,9,10.271437
35.0,3,10.276961
30.0,2,10.281254
35.0,3,10.286751
5.0,1,10.289747
30.0,2,10.294121
-15.0,9,10.307046
5.0,1,10.310734
5.0,1,10.313937
30.0,4,10.320684
0.0,6,10.329822
-15.0,9,10.342733
-45.0,15,10.362198
-15.0,9,10.374683
5.0,1,10.378218
5.0,1,10.381483
-30.0,12,10.39774
-15.0,9,10.409546
-15.0,9,10.422119
0.0,6,10.431533
5.0,1,10.435061
0.0,6,10.443958
30.0,2,10.448037
-60.0,18,10.470173
30.0,2,10.474253
-15.0,9,10.48718
-20.0,10,10.501591
35.0,3,10.50758
32.5,8,10.519709
30.0,2,10.523985
-15.0,9,10.535929
30.0,2,10.54038
35.0,3,10.545489
0.0,10,10.559212
-20.0,10,10.573226
0.0,6,10.582524
35.0,3,10.588271
-5.0,11,10.602869
0.0,6,10.612231
0.0,6,10.622157
35.0,3,10.628314
35.0,3,10.634045
35.0,3,10.639607
0.0,6,10.649393
0.0,6,10.658487
30.0,2,10.662935
35.0,3,10.668428
-30.0,12,10.684847
5.0,1,10.68787
5.0,1,10.691208
30.0,2,10.695708
-15.0,9,10.708193
-60.0,18,10.731939
-15.0,9,10.74466
30.0,2,10.748621
0.0,6,10.757244
5.0,1,10.760583
30.0,2,10.764894
-30.0,12,10.781338
-30.0,12,10.797616
35.0,3,10.802933
-30.0,12,10.817668
30.0,2,10.822211
-15.0,9,10.834355
-15.0,9,10.84709
5.0,1,10.85011
5.0,1,10.853463
-30.0,12,10.868184
0.0,6,10.87772
5.0,1,10.881019
30.0,2,10.885189
0.0,6,10.894091
-30.0,12,10.910253
35.0,3,10.915769
-30.0,12,10.93203
0.0,6,10.941063
-15.0,9,10.953072
43.333333,6,10.963543
35.0,3,10.969138
5.0,1,10.971959
0.0,6,10.981487
0.0,6,10.990192
-15.0,9,11.003145
0.0,6,11.011784
0.0,6,11.021223
-30.0,12,11.037607
35.0,3,11.043921
5.0,1,11.047411
-50.0,16,11.068397
0.0,6,11.077903
30.0,2,11.082614
-15.0,9,11.094663
5.0,1,11.097753
-20.0,14,11.116682
5.0,1,11.120296
0.0,6,11.129415
35.0,3,11.135144
-45.0,19,11.160545
30.0,2,11.165217
0.0,6,11.173681
30.0,2,11.178117
5.0,1,11.180997
5.0,1,11.184289
30.0,2,11.188473
0.0,6,11.19709
35.0,3,11.202535
-15.0,9,11.215126
0.0,6,11.224755
0.0,6,11.233424
30.0,2,11.237489
5.0,1,11.240904
0.0,6,11.250938
5.0,1,11.254182
5.0,1,11.257047
30.0,2,11.26125
5.0,1,11.264644
35.0,3,11.270028
0.0,6,11.280398
35.0,3,11.286524
35.0,3,11.29184
-30.0,12,11.307912
30.0,2,11.312399
-45.0,15,11.331631
-60.0,18,11.353222
-30.0,12,11.368054
30.0,2,11.372152
35.0,3,11.377652
-45.0,15,11.396028
30.0,2,11.399998
-30.0,12,11.415731
25.0,3,11.420794
0.0,6,11.428859
35.0,3,11.433939
35.0,3,11.439255
43.333333,6,11.44813
-15.0,9,11.460593
30.0,2,11.46479
0.0,6,11.473902
30.0,2,11.477827
30.0,2,11.482131
30.0,2,11.486338
5.0,1,11.489468
32.5,8,11.500646
-30.0,12,11.517307
0.0,6,11.526724
-15.0,9,11.539274
35.0,3,11.54511
-30.0,12,11.560961
35.0,3,11.566474
-5.0,7,11.57649
0.0,6,11.586013
35.0,3,11.591804
35.0,3,11.596959
30.0,4,11.603441
-30.0,12,19.220661
0.0,6,19.229871
5.0,1,19.233033
-85.0,27,19.279776
0.0,6,19.288977
0.0,6,19.297762
35.0,3,19.303841
30.0,2,19.30815
5.0,1,19.31165
35.0,3,19.317588
-15.0,9,19.330603
