#{"t_start": 1737642913.672917, "env_id": "None"}
r,l,t
7.0,10,0.351105
4.6621256,10,0.351503
2.0,10,0.351897
5.0,10,0.352261
10.733171,10,0.362902
6.5782986,10,0.363364
5.0,10,0.363744
4.955555,10,0.364123
5.666019,10,0.365096
9.0,10,0.365495
4.0,10,0.365898
7.0,10,0.366285
6.666019,10,0.367076
11.662126,10,0.367454
7.0,10,0.367861
4.0,10,0.36825
7.6660194,10,0.369009
11.0,10,0.369421
6.6176805,10,0.36983
7.955555,10,0.370202
4.0,10,0.370916
8.906444,10,0.371288
9.733171,10,0.371654
4.666019,10,0.37202
5.0,10,0.372715
2.0,10,0.373093
8.0,10,0.373492
6.0,10,0.373832
2.0,10,0.374546
6.0,10,0.37491
6.6660194,10,0.375278
9.0,10,0.375653
6.0,10,0.37635
8.0,10,0.376725
5.0,10,0.377111
7.621574,10,0.377458
5.666019,10,0.378133
6.6621256,10,0.378535
6.0,10,0.378952
6.0,10,0.379344
9.0,10,0.380106
7.0,10,0.380491
6.0,10,0.380864
6.955555,10,0.38124
5.0,10,0.381952
1.6621253,10,0.382323
4.0,10,0.38272
4.0,10,0.383101
5.0,10,0.383757
9.0,10,0.384094
8.0,10,0.390723
9.955555,10,0.391077
5.7331715,10,0.391797
6.0,10,0.392151
4.6621256,10,0.392526
6.666019,10,0.392899
9.662126,10,0.393594
9.0,10,0.39397
8.0,10,0.394349
6.0,10,0.394714
9.0,10,0.395378
9.955555,10,0.395756
7.0,10,0.396144
8.0,10,0.396498
9.0,10,0.397146
3.666019,10,0.397513
7.0,10,0.39787
6.0,10,0.398961
10.955555,10,0.403754
12.0,10,0.40469
7.6660194,10,0.405679
5.5782986,10,0.408292
6.0,10,0.416253
5.0,10,0.419545
7.0,10,0.420737
8.0,10,0.421694
7.0,10,0.424346
6.0,10,0.426794
7.0,10,0.427792
11.0,10,0.428698
8.0,10,0.433522
6.666019,10,0.434528
10.0,10,0.435676
4.955555,10,0.436875
3.0,10,0.441878
7.0,10,0.443171
10.0,10,0.444144
4.0,10,0.445062
9.0,10,0.44927
8.0,10,0.451028
12.0,10,0.451993
6.6621256,10,0.452898
8.0,10,0.457614
5.5782986,10,0.458655
5.0,10,0.459829
7.0,10,0.460662
6.0,10,0.471593
9.0,10,0.472644
5.0,10,0.47373
6.0,10,0.474663
3.0,10,0.545483
5.0,10,0.552445
9.977489,10,0.558358
7.0,10,0.565068
4.0,10,0.570532
4.0,10,0.573568
7.395297,10,0.575436
2.0,10,0.579087
8.0,10,0.582763
5.0,10,0.584323
8.578299,10,0.586711
6.0,10,0.589091
4.955555,10,0.595974
1.9555548,10,0.598547
4.955555,10,0.603471
6.621574,10,0.604822
6.6621256,10,0.60895
7.621574,10,0.61065
10.240424,10,0.612374
6.244318,10,0.614956
8.0,10,0.619982
4.2443175,10,0.623541
1.0,10,0.62794
5.0,10,0.62927
5.666019,10,0.632078
5.6176805,10,0.633389
10.0,10,0.636094
7.955555,10,0.637374
10.0,10,0.640136
8.955555,10,0.645145
4.0,10,0.6472
3.666019,10,0.648808
2.0,10,0.653298
6.0,10,0.654586
5.0,10,0.656587
6.0,10,0.657864
7.0,10,0.661546
9.955555,10,0.663036
7.0,10,0.665156
10.0,10,0.666554
11.662126,10,0.669386
5.0,10,0.670633
7.5782986,10,0.672269
11.0,10,0.673585
7.0,10,0.675663
6.0,10,0.676897
8.0,10,0.67853
8.733171,10,0.679759
7.0,10,0.681827
6.0,10,0.683063
4.5782986,10,0.684966
7.0,10,0.686198
4.666019,10,0.688239
5.0,10,0.689503
5.6621256,10,0.691128
8.533854,10,0.692354
5.666019,10,0.694691
4.0,10,0.695906
6.666019,10,0.697534
0.6621256,10,0.698838
6.0,10,0.700858
7.0,10,0.702068
9.733171,10,0.704617
2.0,10,0.705913
8.733171,10,0.708035
6.6621256,10,0.709334
8.666019,10,0.710961
4.0,10,0.712181
6.666019,10,0.714303
4.0,10,0.715529
7.0,10,0.717163
0.0,10,0.718386
2.0,10,0.720487
3.0,10,0.72179
5.0,10,0.723415
7.5782986,10,0.724687
5.955555,10,0.726771
7.7331715,10,0.727986
9.0,10,0.729667
9.955555,10,0.730881
8.662126,10,0.732949
4.6621256,10,0.734174
8.0,10,0.735792
5.0,10,0.736996
10.0,10,0.739038
4.5782986,10,0.740257
6.0,10,0.741879
7.0,10,0.743161
6.0,10,0.745193
7.0,10,0.746475
2.6621253,10,0.748101
4.0,10,0.749331
7.0,10,0.751355
7.0,10,0.75258
7.0,10,0.754185
4.0,10,0.75539
10.666019,10,0.757463
5.0,10,0.758688
10.0,10,0.760315
7.955555,10,0.761554
8.0,10,0.763821
4.0,10,0.765023
8.0,10,0.766623
3.666019,10,0.767831
5.0,10,0.769878
6.666019,10,0.771087
8.0,10,0.772711
9.666019,10,0.774007
8.688726,10,0.776125
7.0,10,0.777333
5.0,10,0.77898
7.0,10,0.780193
6.0,10,0.782381
9.0,10,0.783614
5.5782986,10,0.785231
2.0,10,0.786463
7.955555,10,0.788598
4.0,10,0.789847
7.0,10,0.791513
3.666019,10,0.792741
8.0,10,0.794913
8.955555,10,0.796245
10.0,10,0.798109
7.0,10,0.799373
4.0,10,0.801573
7.5782986,10,0.802815
5.7331715,10,0.80445
3.0,10,0.805665
13.0,10,0.80788
13.0,10,0.809124
8.0,10,0.810759
10.0,10,0.811975
