time,throughput_kbps
0.000000000000000000e+00,0.000000000000000000e+00
2.366666666666666821e-04,1.080000000000000000e+06
1.628282962962963043e-01,1.621287356635905962e+04
3.483882962962963070e-01,1.609853499478635786e+04
5.445999999999999730e-01,1.331651146490437350e+04
7.395760000000000112e-01,1.128334626430914614e+04
9.316100000000000492e-01,1.002413048496105148e+04
1.106181481481481432e+00,9.438347544967346039e+03
1.297635000000000094e+00,9.010518635993365024e+03
1.485109999999999930e+00,8.827104223640229975e+03
1.676240296296296339e+00,8.075497289681687107e+03
1.860109999999999930e+00,7.876991829938487172e+03
2.034626740740744566e+00,7.512135738552836301e+03
2.209999999999999964e+00,7.860541994474864623e+03
2.406225000000000058e+00,7.860541994474864623e+03
2.601214999999999833e+00,7.860541994474864623e+03
2.796574999999999811e+00,7.860541994474864623e+03
2.998765000000000125e+00,7.860541994474864623e+03
3.189999999999999947e+00,7.860541994474864623e+03
3.384791111111115747e+00,5.242643840197175450e+03
3.581100000000000172e+00,5.242643840197175450e+03
3.775850000000000151e+00,5.242643840197175450e+03
3.971861555555555867e+00,5.242643840197175450e+03
4.170454999999999579e+00,5.242643840197175450e+03
4.369539999999999758e+00,5.242643840197175450e+03
4.567512962962961609e+00,3.933656994593857689e+03
4.769389999999999574e+00,3.933656994593857689e+03
4.971176666666666577e+00,3.933656994593857689e+03
